,target_user,target_user_stance,response_user,response_user_stance
0,1339835893,1,275139787,-1
1,25073877,-1,2547517884,1
2,25073877,-1,1415709798,1
3,820354372827758592,1,1925388241,-1
4,3293406121,1,42461756,1
5,8953122,1,796143947202510848,1
6,949934436,1,,0
7,240107748,-1,33540385,1
8,360086219,-1,2392878835,1
9,18856867,1,,0
10,800707492346925056,1,142929095,1
11,209176493,1,4730403444,1
12,18276341,1,767127878,1
13,45565185,1,891196068,1
14,54412900,-1,3997870336,1
15,18956073,-1,31122262,-1
16,4651329203,1,1358520301,1
17,37535548,-1,29198219,1
18,252751061,1,73548596,1
19,813286,-1,4856066080,-1
20,375434404,-1,789870587661262848,-1
21,375434404,-1,4845756074,1
22,220412723,1,736743462,1
23,7794142,1,930178296,1
24,24506246,1,56726017,1
25,2735511486,-1,833650770,-1
26,18005085,-1,951364134,-1
27,2836421,1,584448570,-1
28,841716426117386240,-1,15752247,-1
29,414962189,1,704183237015375872,-1
30,1375289149,1,712672839745335296,1
31,2750127259,-1,4140639207,1
32,51241418,1,797698140807655424,1
33,888091668288876544,1,27124894,1
34,592730371,-1,816718214369398784,-1
35,759251,1,822527473451606016,-1
36,22771961,1,712342794132586497,-1
37,553991829,-1,176564327,-1
38,19489239,1,61015843,1
39,20708260,-1,,0
40,3284112337,-1,,0
41,3284112337,-1,2966823342,-1
42,17469289,1,260010205,1
43,945706076607000576,1,936732378529193985,1
44,87818409,1,3294569077,-1
45,4647164287,1,29198219,1
46,913416571548205057,-1,,0
47,129235890,-1,781292948176510976,1
48,810619093749559296,1,4896347681,1
49,800086706678419456,-1,,0
50,22843167,1,30706941,1
51,800111181058838528,1,717275563,1
52,93992192,-1,949670117968875521,0
53,462104542,-1,1518261,0
54,65174274,1,947939622037925893,0
55,35218566,-1,16790394,1
56,397055388,1,114259310,-1
57,1586139973,1,45191523,1
58,15007149,1,3424968443,-1
59,13850422,1,827645780756426752,1
60,820354372827758592,1,1102236132,-1
61,22703645,-1,202040904,0
62,240107748,-1,568678633,-1
63,18464266,1,21111999,-1
64,7702542,-1,81428340,1
65,965231053119148032,1,20883103,-1
66,25073877,-1,796824356924096512,0
67,25073877,-1,3191477888,0
68,25073877,-1,814602469498044418,1
69,25073877,-1,15057589,1
70,16164856,1,986174356257693696,0
71,820378690920058880,1,566553506,0
72,820378690920058880,1,88037937,-1
73,200889851,1,605448416,0
74,42176166,1,82719255,-1
75,422894799,-1,17449583,0
76,32805361,1,938253847335784448,0
77,16056306,1,2876704776,-1
78,818948638890217473,-1,4875740127,0
79,251918778,1,205907933,-1
80,611986351,1,3367909137,-1
81,231510077,1,806972430724038656,0
82,26637348,1,1975541376,0
83,113758100,-1,726239621068251136,-1
84,155784594,1,570816602,-1
85,14173315,1,23065616,0
86,24506246,1,991128865572573184,1
87,18576537,-1,4691985930,0
88,912064087676383233,-1,1154423766,0
89,488772327,1,48883553,-1
90,34262462,1,168547637,1
91,1566929143,1,808534076860862465,1
92,25073877,-1,865892444533141504,0
93,51241574,1,46846040,0
94,133938408,1,780530777326882816,1
95,4761064634,-1,826123021064798208,0
96,7702542,-1,741717396960907264,1
97,1322420269,1,804863024288894976,1
98,25073877,-1,1382900436,1
99,2554131522,-1,64472525,1
100,42176166,1,59873037,1
101,302971361,1,241280143,1
102,249722522,-1,,0
103,35218566,-1,724745164153966592,1
104,35218566,-1,301209831,1
105,19914257,1,251335455,1
106,231653036,-1,1506079266,1
107,821511862881845248,-1,350533834,1
108,87957969,1,792701483510853636,1
109,1100927498,1,430229123,1
110,4281570916,1,1474274960,1
111,,0,18600539,1
112,186646579,-1,918186145602682880,1
113,58007320,-1,14072631,-1
114,142375993,1,22295240,1
115,288363743,1,2204131711,1
116,824162556256415746,1,2519044628,1
117,37965812,-1,1281179178,-1
118,95431448,1,902547463,1
119,19489239,1,460397041,1
120,14940354,1,95497075,1
121,15907183,1,,0
122,359428392,-1,3219330344,1
123,51241574,1,855820842,-1
124,2353605901,-1,2468254650,1
125,822215673812119553,-1,3718042757,-1
126,763935668284239872,-1,839865346047807488,-1
127,489729616,1,778768050,1
128,476256944,1,818784109497643012,-1
129,375434404,-1,749631837589295105,-1
130,85131054,1,73447806,1
131,259395895,1,54984589,1
132,722528529716383744,-1,807037241365172224,-1
133,869378365433761792,1,1496530303,1
134,3267456386,-1,2753220014,-1
135,1428659995,-1,34003535,1
136,109025212,1,20729667,1
137,155784594,1,815812159351291904,-1
138,18742360,1,,0
139,591505507,-1,480500298,-1
140,403647191,1,,0
141,18005085,-1,2503001824,1
142,54065567,1,,0
143,1372786812,-1,249715198,-1
144,3293406121,1,54081437,-1
145,110396781,1,2200209065,1
146,788417346092183552,1,300585654,-1
147,25073877,-1,1959892363,1
148,133938408,1,270664041,1
149,783521297720569857,1,921951679955783680,1
150,17469289,1,42321684,1
151,,0,2543938032,1
152,48459553,-1,320491586,-1
153,166751745,-1,1532464837,1
154,932180845388906496,-1,819168536820088837,-1
155,388122292,-1,35086246,-1
156,133938408,1,2662023960,1
157,904782144324722691,-1,,0
158,22771961,1,,0
159,771152516,1,94076386,1
160,3267456386,-1,870273404263444480,-1
161,539010491,1,17339593,1
162,64643056,1,46080652,1
163,966113328,1,987009306070466561,0
164,1074480192,-1,1794817130,1
165,407464670,1,49274547,1
166,865904519162482688,1,893195387472932866,1
167,7587032,1,317223956,1
168,91882544,-1,3039961639,0
169,91882544,-1,89918824,0
170,9624742,-1,828163233752240128,0
171,15513604,-1,252174617,1
172,15007149,1,20823571,-1
173,1629339452,1,372240477,-1
174,19580890,1,987500474633990144,-1
175,111216929,1,3147066060,0
176,25073877,-1,3436968041,0
177,25073877,-1,917846875386138625,-1
178,820378690920058880,1,707383117510672384,-1
179,820378690920058880,1,991705167576911872,-1
180,376435807,1,773230604133564416,1
181,26792275,1,282987163,1
182,36654245,-1,955524366137221131,0
183,186755547,1,106937647,1
184,438561525,1,872067355651829761,-1
185,3131144855,1,67083024,-1
186,202952121,-1,16177486,1
187,963480595,-1,945695263578116098,1
188,918274726363004928,-1,936913896476049408,0
189,690003,1,725474259737387010,1
190,24258355,1,989206909654880256,1
191,25073877,-1,374698452,0
192,141084952,-1,736354610332344320,-1
193,36686040,1,3067585165,-1
194,36686040,1,138096419,0
195,928996263957352448,-1,122565055,-1
196,247981000,-1,4340825842,-1
197,24506246,1,64781513,1
198,326756275,1,3125724873,0
199,15764644,1,830942472,-1
200,822215673812119553,-1,22979427,1
201,1095621013,1,64781513,1
202,34240147,1,2447478612,1
203,1917731,1,262734395,0
204,25073877,-1,884834779774013441,0
205,26645260,1,48906174,1
206,25073877,-1,618429852,0
207,20467163,1,2304303511,1
208,25073877,-1,100832012,1
209,25073877,-1,201354869,1
210,17272214,1,19608199,0
211,1113100093,-1,837802235501273090,-1
212,460848738,-1,713552572158574592,-1
213,128616566,-1,856257518,1
214,35218566,-1,23298959,1
215,189434508,-1,3220673185,1
216,78523300,-1,,0
217,22129280,1,20680509,-1
218,2876041031,1,2874625958,1
219,885565735,-1,,0
220,1626294277,1,838760120,1
221,545474475,1,236224860,1
222,20508720,1,65047791,1
223,278124059,1,531565758,-1
224,130557513,1,1209364268,1
225,958064770019741696,-1,91657636,-1
226,822901284655210497,-1,2696883469,1
227,131538331,-1,23584599,-1
228,41634520,-1,888495576245051393,-1
229,22418249,-1,16799023,1
230,215207998,1,350408713,1
231,131538331,-1,823449859,-1
232,940232794877452293,1,20349961,1
233,29465136,1,3160780691,1
234,288363743,1,24827128,1
235,763935668284239872,-1,16423610,1
236,4102376488,-1,737503514,-1
237,375434404,-1,3363811032,-1
238,592730371,-1,1951406928,-1
239,177564016,-1,325999914,1
240,2316383071,1,,0
241,817661098988019712,-1,1684178449,-1
242,970207298,1,14933010,1
243,946940097756385281,-1,889258106907185154,1
244,109025212,1,15302774,-1
245,2173570430,-1,,0
246,898309929521434624,1,,0
247,303898942,1,17492639,1
248,475454826,1,1519774656,-1
249,59157393,1,308960563,1
250,592730371,-1,745729425703067649,-1
251,131538331,-1,1171793868,1
252,166751745,-1,838224806843559936,-1
253,592730371,-1,804337662308061188,-1
254,881336677138128897,1,506854615,1
255,1586139973,1,263356801,1
256,892469822575050754,-1,916963122488987648,-1
257,32871086,1,704504741573726209,1
258,750377949065535488,-1,701858788089810944,-1
259,619400667,-1,133096088,-1
260,15220768,1,15984243,1
261,705441650076684288,1,53220544,1
262,3350775460,1,3003864544,1
263,24382468,1,30752020,1
264,18266688,-1,878019361075863552,-1
265,72198806,1,19533136,-1
266,35218566,-1,1924830164,1
267,129834917,1,2693013240,1
268,35218566,-1,2919859200,-1
269,1339835893,1,2450439487,1
270,132339474,1,821159618730754049,1
271,728039605,1,233494978,1
272,23798694,-1,947939622037925893,0
273,234374703,1,31047730,1
274,889039588903329792,-1,216638460,1
275,810619093749559296,1,836704919524560896,1
276,91882544,-1,237344620,0
277,897158136582287361,1,957951081941741569,0
278,2583678126,1,575214489,0
279,35218566,-1,16178108,0
280,432895323,-1,39085487,0
281,47813521,1,949406728981970944,0
282,46479088,1,2721637618,1
283,252819642,-1,267766480,0
284,25073877,-1,810533162325606400,-1
285,36654245,-1,4258329133,0
286,264192601,1,536461992,-1
287,249787913,1,914567454,1
288,919245692350156802,1,360674583,1
289,348378205,-1,696051336035594240,1
290,738080573365702657,1,16330347,1
291,283721629,1,419103327,1
292,192547775,1,36921753,1
293,34858992,1,3355657394,1
294,38495835,-1,1305939013,-1
295,18643437,-1,264188090,-1
296,36686040,1,979096246697766913,0
297,1345518332,0,942034931483418625,1
298,3995778614,-1,864306922769580033,0
299,85289376,1,3480231383,1
300,366585100,1,,0
301,825829081866436608,1,743467783036375040,1
302,825829081866436608,1,707518911953149952,1
303,755057897583804416,1,830447554022273024,1
304,264361128,-1,947939622037925893,0
305,56413858,-1,1631748276,-1
306,15012486,1,823778092149706752,0
307,312696314,1,1684698344,1
308,19489239,1,,0
309,166751745,-1,44216743,1
310,302971361,1,959228286692986881,1
311,3269772474,1,2814372450,1
312,913416571548205057,-1,743869197273292800,-1
313,829745252395339776,1,923578168656752641,1
314,880801071052062720,-1,234155215,-1
315,810619093749559296,1,249859434,1
316,881336677138128897,1,857371228520288258,-1
317,39076082,-1,975147092866891776,-1
318,14662354,-1,3065933140,-1
319,205864193,1,817519139069820928,1
320,205864193,1,16916446,1
321,18956073,-1,55246869,1
322,15302774,-1,450904322,1
323,1877831,1,435035276,1
324,738080573365702657,1,712425673,-1
325,18320938,1,23763190,1
326,19489239,1,225796961,1
327,813286,-1,916477425713692673,-1
328,800086706678419456,-1,126701153,1
329,17061263,-1,68797636,1
330,1652541,1,313376688,1
331,19659231,-1,100609704,1
332,487118986,1,3112421878,1
333,166751745,-1,38571799,-1
334,166751745,-1,2890467055,1
335,87957969,1,,0
336,252398355,-1,200061946,-1
337,47474439,-1,47819224,-1
338,1769646126,1,47368876,1
339,705441650076684288,1,85939843,1
340,14389225,1,3137564636,-1
341,218975278,1,916477425713692673,-1
342,1917731,1,805570166050476032,-1
343,14197312,1,262171016,-1
344,761675254796263425,1,1663777496,1
345,288363743,1,24086949,1
346,15745368,-1,1674606697,-1
347,2750127259,-1,29225781,1
348,218975278,1,2276168748,-1
349,2876041031,1,2483783551,1
350,836042147774234624,1,857491875967762432,1
351,133938408,1,825034446667673602,1
352,131629607,1,246134345,1
353,16129920,1,2764084864,-1
354,19580890,1,475332446,1
355,2876041031,1,264954642,1
356,763935668284239872,-1,25305215,-1
357,75797367,1,983803510260088832,1
358,475454826,1,49225113,1
359,14345812,1,403853442,-1
360,248884036,1,799037852680069120,1
361,248884036,1,931644637672083457,-1
362,133938408,1,761247111501455360,1
363,60606206,1,,0
364,25073877,-1,,0
365,340613443,1,7858042,1
366,218975278,1,2200395025,0
367,133938408,1,54374425,-1
368,1375289149,1,16898660,1
369,325722235,1,15170157,1
370,732515283902943232,1,754342802184630273,1
371,14247236,1,825397702808608768,1
372,248735463,1,43607424,1
373,1146358172,-1,438041714,-1
374,822215673812119553,-1,765357788,-1
375,132339474,1,929348750748745730,1
376,20818801,1,27126512,1
