,target_user,target_user_stance,response_user,response_user_stance
0,3241707920,-1,3836645961,-1
1,1696503140,-1,477342040,-1
2,18956073,1,441792136,-1
3,237845487,-1,,0
4,1367531,1,25954099,-1
5,16397147,1,1431328974,-1
6,16041234,-1,22741110,-1
7,21829541,1,771667154064158720,-1
8,972162448949116928,1,892116055048548354,1
9,21829541,1,97888378,1
10,236487888,1,852616353496346624,-1
11,236487888,1,,0
12,2804332645,-1,951273849563369473,-1
13,885361,1,885601772,-1
14,26239721,-1,19721715,-1
15,2804332645,-1,192769408,-1
16,2804332645,-1,627695524,1
17,2804332645,-1,396877040,1
18,885361,1,1072261040,-1
19,26239721,-1,185542271,-1
20,1915033663,-1,985395878,-1
21,14294848,-1,242729168,-1
22,,0,812156571845152768,1
23,23872098,-1,364962406,-1
24,757078971590651904,1,3929038325,-1
25,1146358172,1,,0
26,1249831310,1,813430316,1
27,69190453,1,3400036739,1
28,2833963987,1,512620444,1
29,236487888,1,47697760,-1
30,32936695,-1,940947284199661570,-1
31,21829541,1,266567093,0
32,1335397489,-1,279774807,-1
33,2757695505,1,86622682,-1
34,25073877,1,921549044,-1
35,21829541,1,891585048,-1
36,949023014347268096,1,13133312,-1
37,11134252,1,863092576316002308,0
38,26043187,1,170547167,-1
39,4102376488,1,2552866040,-1
40,888451397783625728,-1,806653946240626688,0
41,246939630,-1,806819710537007105,-1
42,246939630,-1,,0
43,17564591,1,817942495287865348,0
44,25073877,1,39296597,0
45,25073877,1,177002206,0
46,21829541,1,4716906680,0
47,19173787,1,890392768404533248,0
48,21829541,1,1355334506,0
49,21829541,1,3013729680,-1
50,21829541,1,906954694509051904,-1
51,7702542,1,1069582045,-1
52,21829541,1,2559934693,-1
53,17879692,-1,930516835,-1
54,798953701972938752,-1,979376914505793537,-1
55,867947619661881344,1,811007544080662532,0
56,1106501,-1,309320483,1
57,26657119,-1,783484548264767488,1
58,34713362,-1,977565912848101377,0
59,205864193,-1,508454781,0
60,317385247,1,2382414115,0
61,247981000,1,756968537902682112,0
62,1617951475,1,2305856559,0
63,604940737,-1,45974692,0
64,16076032,1,17830059,0
65,287409342,1,843818089,0
66,1367531,1,804810719124475904,-1
67,1367531,1,3584892134,-1
68,14216661,-1,748206668115152896,0
69,16190478,1,22329855,1
70,87818409,-1,975413016471719936,0
71,1322420269,-1,774306164733542400,0
72,422894799,1,2761431445,0
73,87818409,-1,42135117,0
74,180107694,-1,46195728,0
75,510942432,-1,244650352,-1
76,16193222,1,3214630234,-1
77,16193222,1,872278657300963328,0
78,205864193,-1,786024508700319744,0
79,16076032,1,2330537508,0
80,19040572,-1,53648074,1
81,1915033663,-1,794077393166225408,-1
82,5988062,-1,2552951778,0
83,15455253,1,814530975350792192,1
84,87000859,-1,150289183,-1
85,2804332645,-1,2963350041,-1
86,19558732,1,95650867,-1
87,132339474,-1,1475970787,-1
88,961792879713644544,-1,3974704763,0
89,27285798,1,3929038325,-1
90,3250141399,1,782265648323842048,1
91,763935668284239872,1,1148894713,1
92,601535938,1,2798705328,1
93,270921976,-1,933174729694896128,-1
94,18082945,-1,564657538,-1
95,270921976,-1,719802375,-1
96,16076032,1,3128736089,1
97,42825230,-1,119528515,-1
98,21829541,1,,0
99,21829541,1,23637488,-1
100,839300788702875649,-1,4431846220,1
101,236487888,1,814040122278563842,1
102,792782917638455296,-1,1264060742,1
103,468646961,1,1039142809,-1
104,1335397489,-1,493714995,-1
105,,0,6699732,1
106,253352891,1,432558629,-1
107,4766842022,-1,,0
108,25387735,-1,2797975154,-1
109,25073877,1,90808833,1
110,21829541,1,194214753,-1
111,7702542,1,576318595,-1
112,202952121,1,2289901704,1
113,2595263312,1,3941925995,1
114,21829541,1,309628463,-1
115,21829541,1,2834653493,0
116,21829541,1,816680242723098624,0
117,21829541,1,14988372,-1
118,118857096,-1,433754475,0
119,18805644,-1,44088607,0
120,959289032155979776,1,18085109,-1
121,964032914626359296,-1,1955344290,1
122,77015676,1,2353903285,-1
123,48117116,1,625658980,-1
124,250188760,-1,882901438065553408,1
125,4099171,-1,186980225,1
126,237403203,1,978559295544578048,0
127,21829541,1,261717738,-1
128,21829541,1,3950531775,1
129,21829541,1,896464643899744256,-1
130,21829541,1,118564025,-1
131,21829541,1,350999046,0
132,21829541,1,2864757897,-1
133,21829541,1,1237988090,0
134,21829541,1,804785625400418304,-1
135,21829541,1,18638682,0
136,791805667405287424,-1,810629459233665025,0
137,806862084277407744,1,3054760996,1
138,1317129865,-1,808896385,0
139,29465136,-1,742503886385090560,-1
140,2932942216,-1,269120499,-1
141,87818409,-1,2752044303,0
142,351120282,1,945824923255271425,-1
143,232901331,1,891440166,0
144,16193222,1,17013147,0
145,16045956,1,2386595213,0
146,289342771,-1,354965291,1
147,16076032,1,2407332835,0
148,857001662,1,880852034093629441,0
149,14216661,-1,1603924040,0
150,604940737,-1,842141609785466880,1
151,71749057,1,566663792,0
152,118756393,-1,24919512,0
153,213795411,1,815281892345991180,-1
154,867947619661881344,1,806140299571593217,0
155,16076032,1,827379820153573377,0
156,2804332645,-1,3286980450,1
157,8953122,-1,51909225,-1
158,132339474,-1,17756037,-1
159,885361,1,769592848077426689,-1
160,165586474,1,3368239563,-1
161,21829541,1,794193884469460992,-1
162,780955609394884608,-1,1580083178,-1
163,907759856429527040,-1,881206697502625792,-1
164,17564591,1,3219194489,-1
165,964032914626359296,-1,44171091,-1
166,21829541,1,3301708236,1
167,132339474,-1,,0
168,882271875094597633,-1,73186101,1
169,961792879713644544,-1,24521540,-1
170,133938408,-1,1470050257,-1
171,246939630,-1,852215731320233985,-1
172,617854798,-1,33534293,-1
173,2595263312,1,,0
174,26900055,1,424415890,1
175,862493306382626818,1,,0
176,621620724,1,837403780832460800,1
177,3092154496,1,219557724,1
178,132339474,-1,2719966213,-1
179,810619093749559296,-1,24619043,-1
180,874636442290577410,1,1406015426,1
181,2876041031,-1,36139539,-1
182,21829541,1,722564518128144386,0
183,874636442290577410,1,20701760,0
184,604940737,-1,276200072,0
185,215207998,-1,788241122594136064,0
186,422894799,1,950819237198811136,1
187,92580421,-1,252745016,0
188,15515169,1,33115754,0
